,Ticker,Price,Change
0,RBBN,10.61,0.1975
1,PERI,21.35,0.045
2,CTHR,2.50,0.046
4,EXTR,10.05,0.09
5,SBNY,195.43,0.06849999999999999
7,YI,13.93,0.0969
11,WTT,2.46,0.1827
13,OSS,6.06,0.13699999999999998
18,MBII,2.70,0.1489
